source	reference	translation
Parents sacrifice their own needs for children.	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
The professor wrote equations on the blackboard.	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
She cooked delicious biryani for the family.	اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
Respecting elders is an important value.	بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
After finishing his work, he sat down.	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
The wedding ceremony lasted three days.	شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
The forest is home to many wild animals.	جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
Teachers shape young minds.	استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
She received a scholarship to study medicine.	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
Small businesses create employment opportunities.	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
Elderly people share wisdom and stories.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
Education opens doors to opportunities.	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
I woke up early this morning.	من اڄ صبح جلدی اٹھیا۔	من اڄ صبح جلدی اٹھیا۔
Regular exercise helps maintain good health.	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
Elderly people share wisdom and stories.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
Farmers planted rice in the flooded fields.	کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
Students gathered in the library.	طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
The school organized a science fair.	سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
I woke up early this morning.	من اڄ صبح جلدی اٹھیا۔	من اڄ صبح جلدی اٹھیا۔
Storytelling preserves culture and knowledge.	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
The internet connects people across continents.	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
Farmers planted rice in the flooded fields.	کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
Doctors work long hours to treat patients.	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
Cricket is a popular sport.	کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
Children were playing cricket in the street.	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
The bus arrived late.	بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
People travel long distances to visit religious sites.	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
The bus arrived late.	بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
After finishing his work, he sat down.	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
Farmers wake up early to tend to crops.	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
Education opens doors to opportunities.	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
Pollution in cities has become a serious problem.	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
Family members support each other during difficult times.	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
The bus arrived late.	بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
Elderly people share wisdom and stories.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
Handicrafts showcase artistic traditions.	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
Regular exercise helps maintain good health.	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
Elderly people share wisdom and stories.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
Respecting elders is an important value.	بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
