source	reference	translation
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
Train journeys offer scenic views.	د اورګاډو سفرونه د مناظرو لید ورکوي.	د اورګاډو سفرونه د مناظرو لید ورکوي.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.	زړون خلک حکمت او کیسې شریکوي.
The bus arrived late.	بس ورو ورو راغله.	بس ورو ورو راغله.
Birds were chirping in the trees.	مرغۍ په ونو کې چغېدلې.	مرغۍ په ونو کې چغېدلې.
Cooking together brings family members closer.	یوځای پخول د کورنۍ غړو ته نږدې راولي.	یوځای پخول د کورنۍ غړو ته نږدې راولي.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Eating fresh fruits provides essential vitamins.	د تازه میوو خوړل اړین ویتامینونه برابروي.	د تازه میوو خوړل اړین ویتامینونه برابروي.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Small businesses create employment opportunities.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
The bus arrived late.	بس ورو ورو راغله.	بس ورو ورو راغله.
Tourism brings revenue to regions with historical sites.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Pollution in cities has become a serious problem.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.	زړون خلک حکمت او کیسې شریکوي.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.	د زړونو درناوی مهمه ارزښت دی.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
She walked slowly through the garden.	هغې په باغ کې ورو ورو تېره شوه.	هغې په باغ کې ورو ورو تېره شوه.
Smartphones have changed how people communicate.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
I woke up early this morning.	زه نن سهار وختي پاړ شوم.	زه نن سهار وختي پاړ شوم.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.	خلک د خوښۍ سره جشنونه لمانځي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Tourism brings revenue to regions with historical sites.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
After finishing his work, he sat down.	د خپل کار پای ته رسولو وروسته، ناست شو.	د خپل کار پای ته رسولو وروسته، ناست شو.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.	د واده مراسم درې ورځې دوام وکړ.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
Cooking together brings family members closer.	یوځای پخول د کورنۍ غړو ته نږدې راولي.	یوځای پخول د کورنۍ غړو ته نږدې راولي.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
