EN	PAN	PBT	SND	SKR	URD	BAL	HND	BRH
Cricket is a popular sport.	کرکٹ ہک مقبول کھیڈ اے۔	کریکټ یوه مشهوره لوبه ده.	ڪرڪيٽ هڪ مقبول راند آهي.	کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ایک مقبول کھیل ہے۔	کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
People celebrate festivals with great joy.	لوک ودی خوشی نال میلے منیندے نیں۔	خلک د خوښۍ سره جشنونه لمانځي.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	لوک وݙی خوشی نال میلے منیندے نیں۔	لوگ بہت خوشی سے تہوار مناتے ہیں۔	لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
Eating fresh fruits provides essential vitamins.	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	د تازه میوو خوړل اړین ویتامینونه برابروي.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.	تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
The internet connects people across continents.	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
Digital payments have made transactions faster.	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ډیجیټل تادیاتو معاملات ګړندي کړي دي.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیوں نے معاملات تیز کر دیے ہیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
People travel long distances to visit religious sites.	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔	لوگ مذہبی مقامات دیکھنے کے لیے لمبی دوریاں طے کرتے ہیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔	زما نیا ما ماته کیسې وړې.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	میری دادی نے مینوں کہانیاں سݨایاں۔	میری دادی نے مجھے کہانیاں سنائیں۔	میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
Smartphones have changed how people communicate.	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فونوں نے لوگوں کے رابطے کے طریقے کو تبدیل کر دیا ہے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
Students gathered in the library.	طالب علم لائبریری وچ گڈے تھئے۔	زده کوونکي په کتابتون کې راټول شول.	شاگرد لائبريري ۾ گڏ ٿيا.	طالب علم لائبریری وچ گڈے تھئے۔	طلباء لائبریری میں جمع ہوئے۔	طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
Elderly people share wisdom and stories.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	زړون خلک حکمت او کیسې شریکوي.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	کرهڼه د عاید اصلي سرچینه پاتې ده.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی کا بنیادی ذریعہ رہتی ہے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
I woke up early this morning.	میں اج صبح جلدی اٹھیا۔	زه نن سهار وختي پاړ شوم.	مان اڄ صبح جلدي اٿي ويسم.	میں اڄ صبح جلدی اٹھیا۔	میں آج صبح جلدی اٹھا۔	من اڄ صبح جلدی اٹھیا۔	میں اڄ صبح جلدی اٹھیا۔	من اڄ صبح جلدی اٹھیا۔
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	د اورګاډو سفرونه د مناظرو لید ورکوي.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
The river flows peacefully through the valley.	دریا وادی وچ پرامن طریقے نال وہندی اے۔	سیند په دره کې په آرامۍ سره بهیږي.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.	دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
Cooking together brings family members closer.	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	یوځای پخول د کورنۍ غړو ته نږدې راولي.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڈے کھاݨ پکاوݨ خاندان دے ممبراں کوں نیڑے لیندے۔	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	روښانه اړیکه د ناپوهیو مخه نیسي.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیوں کو روکتا ہے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
Small businesses create employment opportunities.	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	چھوٹے کاروبار روزگار کے مواقع پیدا کرتے ہیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
Farmers wake up early to tend to crops.	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
Online shopping has become popular.	آن لائن خریداری مقبول تھی گئی اے۔	آنلاین پلورلې محبوبه شوې ده.	آن لائن خريداري مقبول ٿي وئي آهي.	آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول ہو گئی ہے۔	آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
Farmers planted rice in the flooded fields.	کسان پانی والے کھیتراں وچ چاول پوکے۔	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاݨی والے کھیتراں وچ چاول پوکے۔	کسانوں نے پانی والے کھیتوں میں چاول بوئے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
Pollution in cities has become a serious problem.	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔	شہروں میں آلودگی ایک سنجیدہ مسئلہ بن گئی ہے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
Learning a new language requires practice.	نوی زبان سکھن کیتے مشق دی لوڑ اے۔	د نوې ژبې زده کړه تمرین ته اړتیا لري.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
Storytelling preserves culture and knowledge.	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کیسه ویل د کلتوري او پوهې ساتنه کوي.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سنانا ثقافت اور علم کو محفوظ رکھتا ہے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
Regular exercise helps maintain good health.	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.	منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
Doctors work long hours to treat patients.	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضوں کا علاج کرنے کے لیے لمبے گھنٹے کام کرتے ہیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
The school organized a science fair.	سکول نے سائنس میلہ منظم کیتا۔	ښوونځي د ساینس نندارې تنظیم کړه.	اسڪول سائنس ميلو منظم ڪيو.	سکول نے سائنس میلہ منظم کیتا۔	اسکول نے سائنس میلہ منظم کیا۔	سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
Spices add flavor to traditional dishes.	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔	مصالحے روایتی کھانوں میں ذائقہ بڑھاتے ہیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	لوبې د ټیم کار او نظم زده کوي.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیل ٹیم ورک اور نظم و ضبط سکھاتے ہیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔	هغې په باغ کې ورو ورو تېره شوه.	هوءَ باغ ۾ آهستي آهستي هلندي.	اوں باغ وچ آہستہ آہستہ ٹردی۔	وہ باغ میں آہستہ آہستہ چلی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
Handicrafts showcase artistic traditions.	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	دستي کارونه هنري دودونه ښکاره کوي.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	ہتھکاریاں فنکارانہ روایات ݙکھیندیاں نیں۔	دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	موږ د پخواني معبد لیدلو پریکړه وکړه.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	داکتران د ډیرو اوبو څښل وړاندیز کوي.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
The teacher explained the lesson patiently.	استاد صبر نال سبق سمجھایا۔	استاد صبر سره درس تشریح کړ.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر نال سبق سمجھایا۔	استاد نے صبر سے سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
The bus arrived late.	بس ڈیر نال پہنچی۔	بس ورو ورو راغله.	بس دير سان پهچي.	بس ڈیر نال پہنچی۔	بس دیر سے پہنچی۔	بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
She received a scholarship to study medicine.	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	هغې د طب زده کړې لپاره بورسیه ترلاسه کړه.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اسے طب کی تعلیم کے لیے اسکالرشپ ملی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	ماشومان غوره زده کوي کله چې دوی علاقه لري.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
Education opens doors to opportunities.	تعلیم موقعاں دے دروازے کولیندی اے۔	زده کړه د فرصتونو دروازې خلاصوي.	تعليم موقعن جا دروازا کولي ٿي.	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم مواقع کے دروازے کھولتی ہے۔	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
Teachers shape young minds.	استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استادان د ځوان ذهنونو شکل ورکوي.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.	استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔	استاد نوجوان ذہنوں کو شکل دیتے ہیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا سی۔	بازار د خلکو سره ډک و.	مارڪيٽ ماڻهن سان ڀريل هو.	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوگوں سے بھرا ہوا تھا۔	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
After finishing his work, he sat down.	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	د خپل کار پای ته رسولو وروسته، ناست شو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	اپݨا کم مکمل کرݨ دے بعد، او بیٹھ گیا۔	اپنا کام مکمل کرنے کے بعد، وہ بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
