source	reference	translation
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
Train journeys offer scenic views.	د اورګاډو سفرونه د مناظرو لید ورکوي.	د اورګاډو سفرونه د مناظرو لید ورکوي.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.	زړون خلک حکمت او کیسې شریکوي.
The bus arrived late.	بس ورو ورو راغله.	بس ورو ورو راغله.
Birds were chirping in the trees.	مرغۍ په ونو کې چغېدلې.	مرغۍ په ونو کې چغېدلې.
Cooking together brings family members closer.	یوځای پخول د کورنۍ غړو ته نږدې راولي.	یوځای پخول د کورنۍ غړو ته نږدې راولي.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Eating fresh fruits provides essential vitamins.	د تازه میوو خوړل اړین ویتامینونه برابروي.	د تازه میوو خوړل اړین ویتامینونه برابروي.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Small businesses create employment opportunities.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
The bus arrived late.	بس ورو ورو راغله.	بس ورو ورو راغله.
Tourism brings revenue to regions with historical sites.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Pollution in cities has become a serious problem.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.	زړون خلک حکمت او کیسې شریکوي.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.	د زړونو درناوی مهمه ارزښت دی.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
She walked slowly through the garden.	هغې په باغ کې ورو ورو تېره شوه.	هغې په باغ کې ورو ورو تېره شوه.
Smartphones have changed how people communicate.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
I woke up early this morning.	زه نن سهار وختي پاړ شوم.	زه نن سهار وختي پاړ شوم.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.	خلک د خوښۍ سره جشنونه لمانځي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Parents sacrifice their own needs for children.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Tourism brings revenue to regions with historical sites.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
After finishing his work, he sat down.	د خپل کار پای ته رسولو وروسته، ناست شو.	د خپل کار پای ته رسولو وروسته، ناست شو.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.	کرهڼه د عاید اصلي سرچینه پاتې ده.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.	د واده مراسم درې ورځې دوام وکړ.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
Cooking together brings family members closer.	یوځای پخول د کورنۍ غړو ته نږدې راولي.	یوځای پخول د کورنۍ غړو ته نږدې راولي.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.	زده کوونکي په کتابتون کې راټول شول.
Birds were chirping in the trees.	مرغۍ په ونو کې چغېدلې.	مرغۍ په ونو کې چغېدلې.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
After finishing his work, he sat down.	د خپل کار پای ته رسولو وروسته، ناست شو.	د خپل کار پای ته رسولو وروسته، ناست شو.
Doctors recommend drinking plenty of water.	داکتران د ډیرو اوبو څښل وړاندیز کوي.	داکتران د ډیرو اوبو څښل وړاندیز کوي.
Train journeys offer scenic views.	د اورګاډو سفرونه د مناظرو لید ورکوي.	د اورګاډو سفرونه د مناظرو لید ورکوي.
Smartphones have changed how people communicate.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.
I woke up early this morning.	زه نن سهار وختي پاړ شوم.	زه نن سهار وختي پاړ شوم.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
She walked slowly through the garden.	هغې په باغ کې ورو ورو تېره شوه.	هغې په باغ کې ورو ورو تېره شوه.
I woke up early this morning.	زه نن سهار وختي پاړ شوم.	زه نن سهار وختي پاړ شوم.
Children were playing cricket in the street.	ماشومان په سړک کې کریکټ لوبېدل.	ماشومان په سړک کې کریکټ لوبېدل.
People travel long distances to visit religious sites.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.
Small businesses create employment opportunities.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.
The river flows peacefully through the valley.	سیند په دره کې په آرامۍ سره بهیږي.	سیند په دره کې په آرامۍ سره بهیږي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Children were playing cricket in the street.	ماشومان په سړک کې کریکټ لوبېدل.	ماشومان په سړک کې کریکټ لوبېدل.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.	خلک د خوښۍ سره جشنونه لمانځي.
Doctors recommend drinking plenty of water.	داکتران د ډیرو اوبو څښل وړاندیز کوي.	داکتران د ډیرو اوبو څښل وړاندیز کوي.
Doctors recommend drinking plenty of water.	داکتران د ډیرو اوبو څښل وړاندیز کوي.	داکتران د ډیرو اوبو څښل وړاندیز کوي.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
The teacher explained the lesson patiently.	استاد صبر سره درس تشریح کړ.	استاد صبر سره درس تشریح کړ.
Doctors work long hours to treat patients.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
Tourism brings revenue to regions with historical sites.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
The forest is home to many wild animals.	ځنګل د ډیرو وحشي حیواناتو کور دی.	ځنګل د ډیرو وحشي حیواناتو کور دی.
The school organized a science fair.	ښوونځي د ساینس نندارې تنظیم کړه.	ښوونځي د ساینس نندارې تنظیم کړه.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.	زړون خلک حکمت او کیسې شریکوي.
People travel long distances to visit religious sites.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Doctors work long hours to treat patients.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.	د زړونو درناوی مهمه ارزښت دی.
The market was crowded with people.	بازار د خلکو سره ډک و.	بازار د خلکو سره ډک و.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
The professor wrote equations on the blackboard.	پروفیسور په تختې کې معادلې ولیکلې.	پروفیسور په تختې کې معادلې ولیکلې.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
Children learn best when they are interested.	ماشومان غوره زده کوي کله چې دوی علاقه لري.	ماشومان غوره زده کوي کله چې دوی علاقه لري.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.	آنلاین پلورلې محبوبه شوې ده.
The teacher explained the lesson patiently.	استاد صبر سره درس تشریح کړ.	استاد صبر سره درس تشریح کړ.
Eating fresh fruits provides essential vitamins.	د تازه میوو خوړل اړین ویتامینونه برابروي.	د تازه میوو خوړل اړین ویتامینونه برابروي.
Education opens doors to opportunities.	زده کړه د فرصتونو دروازې خلاصوي.	زده کړه د فرصتونو دروازې خلاصوي.
Sports teach teamwork and discipline.	لوبې د ټیم کار او نظم زده کوي.	لوبې د ټیم کار او نظم زده کوي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.	د زړونو درناوی مهمه ارزښت دی.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Birds were chirping in the trees.	مرغۍ په ونو کې چغېدلې.	مرغۍ په ونو کې چغېدلې.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.	خلک د خوښۍ سره جشنونه لمانځي.
People travel long distances to visit religious sites.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.
The bus arrived late.	بس ورو ورو راغله.	بس ورو ورو راغله.
After finishing his work, he sat down.	د خپل کار پای ته رسولو وروسته، ناست شو.	د خپل کار پای ته رسولو وروسته، ناست شو.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.	زده کوونکي په کتابتون کې راټول شول.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
We decided to visit the old temple.	موږ د پخواني معبد لیدلو پریکړه وکړه.	موږ د پخواني معبد لیدلو پریکړه وکړه.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.	مسالې دودیزو خوړلو ته خوند ورکوي.
People celebrate festivals with great joy.	خلک د خوښۍ سره جشنونه لمانځي.	خلک د خوښۍ سره جشنونه لمانځي.
She cooked delicious biryani for the family.	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.
The river flows peacefully through the valley.	سیند په دره کې په آرامۍ سره بهیږي.	سیند په دره کې په آرامۍ سره بهیږي.
The school organized a science fair.	ښوونځي د ساینس نندارې تنظیم کړه.	ښوونځي د ساینس نندارې تنظیم کړه.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Reading books improves vocabulary.	د کتابونو لوستل د لغت ښه والی کوي.	د کتابونو لوستل د لغت ښه والی کوي.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
Children were playing cricket in the street.	ماشومان په سړک کې کریکټ لوبېدل.	ماشومان په سړک کې کریکټ لوبېدل.
Education opens doors to opportunities.	زده کړه د فرصتونو دروازې خلاصوي.	زده کړه د فرصتونو دروازې خلاصوي.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.	زده کوونکي په کتابتون کې راټول شول.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.	روښانه اړیکه د ناپوهیو مخه نیسي.
Small businesses create employment opportunities.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.
People travel long distances to visit religious sites.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.	کریکټ یوه مشهوره لوبه ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Pollution in cities has become a serious problem.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.
People travel long distances to visit religious sites.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.	خلک د مذهبي سایټونو لیدلو لپاره اوږد فاصلې سفر کوي.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Teachers shape young minds.	استادان د ځوان ذهنونو شکل ورکوي.	استادان د ځوان ذهنونو شکل ورکوي.
Handicrafts showcase artistic traditions.	دستي کارونه هنري دودونه ښکاره کوي.	دستي کارونه هنري دودونه ښکاره کوي.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
After finishing his work, he sat down.	د خپل کار پای ته رسولو وروسته، ناست شو.	د خپل کار پای ته رسولو وروسته، ناست شو.
The school organized a science fair.	ښوونځي د ساینس نندارې تنظیم کړه.	ښوونځي د ساینس نندارې تنظیم کړه.
The bus arrived late.	بس ورو ورو راغله.	بس ورو ورو راغله.
Cooking together brings family members closer.	یوځای پخول د کورنۍ غړو ته نږدې راولي.	یوځای پخول د کورنۍ غړو ته نږدې راولي.
The river flows peacefully through the valley.	سیند په دره کې په آرامۍ سره بهیږي.	سیند په دره کې په آرامۍ سره بهیږي.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
She cooked delicious biryani for the family.	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.	د زړونو درناوی مهمه ارزښت دی.
Children learn best when they are interested.	ماشومان غوره زده کوي کله چې دوی علاقه لري.	ماشومان غوره زده کوي کله چې دوی علاقه لري.
Tea is served to guests as a gesture of hospitality.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.	د مېلمانو د مېلمستیا د نښې په توګه چای وړاندې کیږي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
